numberOfGraphs	graphSize	edgeProbability	VCDBS-Time (in ms)	VCDBSwithBounding-Time (in ms)	How many VCs?	Parameter k
100	100	0.99	0	0	100|0	100
100	100	0.99	0	0	100|0	99
100	100	0.99	0	0	100|0	98
100	100	0.99	0	0	100|0	97
100	100	0.99	0	0	100|0	96
100	100	0.99	0	1	100|0	95
100	100	0.99	0	0	100|0	94
100	100	0.99	0	0	100|0	93
100	100	0.99	0	0	100|0	92
100	100	0.99	0	0	100|0	91
100	100	0.99	0	0	100|0	90
100	100	0.99	0	1	100|0	89
100	100	0.99	0	0	100|0	88
100	100	0.99	0	0	100|0	87
100	100	0.99	0	0	100|0	86
100	100	0.99	0	0	100|0	85
100	100	0.99	0	0	100|0	84
100	100	0.99	0	0	100|0	83
100	100	0.99	0	1	100|0	82
100	100	0.99	0	0	100|0	81
100	100	0.99	0	0	100|0	80
100	100	0.99	0	0	100|0	79
100	100	0.99	0	0	100|0	78
100	100	0.99	0	0	100|0	77
100	100	0.99	0	0	100|0	76
100	100	0.99	0	0	100|0	75
100	100	0.99	0	0	100|0	74
100	100	0.99	0	0	100|0	73
100	100	0.99	0	1	100|0	72
100	100	0.99	0	0	100|0	71
100	100	0.99	0	0	100|0	70
100	100	0.99	0	0	100|0	69
100	100	0.99	0	0	100|0	68
100	100	0.99	0	0	100|0	67
100	100	0.99	0	0	100|0	66
100	100	0.99	0	0	100|0	65
100	100	0.99	0	5	100|0	64
100	100	0.99	0	2	100|0	63
100	100	0.99	0	2	100|0	62
100	100	0.99	0	3	100|0	61
100	100	0.99	1	4	100|0	60
100	100	0.99	0	3	100|0	59
100	100	0.99	0	1	100|0	58
100	100	0.99	1	1	100|0	57
100	100	0.99	0	6	100|0	56
100	100	0.99	1	3	100|0	55
100	100	0.99	1	3	100|0	54
100	100	0.99	1	5	100|0	53
100	100	0.99	1	7	100|0	52
100	100	0.99	1	7	100|0	51
100	100	0.99	2	9	100|0	50
100	100	0.99	2	11	100|0	49
100	100	0.99	2	15	100|0	48
100	100	0.99	3	14	100|0	47
100	100	0.99	4	16	100|0	46
100	100	0.99	5	19	100|0	45
100	100	0.99	6	17	100|0	44
100	100	0.99	6	26	100|0	43
100	100	0.99	6	30	100|0	42
100	100	0.99	7	31	100|0	41
100	100	0.99	9	49	100|0	40
100	100	0.99	6	68	100|0	39
100	100	0.99	10	86	100|0	38
100	100	0.99	9	104	100|0	37
100	100	0.99	12	126	100|0	36
100	100	0.99	10	144	100|0	35
100	100	0.99	13	174	100|0	34
100	100	0.99	13	215	100|0	33
100	100	0.99	15	236	99|1	32
100	100	0.99	15	243	97|3	31
100	100	0.99	25	274	92|8	30
100	100	0.99	57	335	76|24	29
100	100	0.99	65	318	66|34	28
100	100	0.99	97	351	47|53	27
100	100	0.99	120	385	34|66	26
100	100	0.99	121	346	28|72	25
100	100	0.99	143	351	18|82	24
100	100	0.99	131	334	13|87	23
100	100	0.99	167	379	6|94	22
100	100	0.99	147	331	2|98	21
100	100	0.99	137	319	1|99	20
100	100	0.99	121	296	0|100	19
100	100	0.99	119	274	0|100	18
100	100	0.99	113	285	0|100	17
100	100	0.99	92	270	0|100	16
100	100	0.99	87	298	0|100	15
100	100	0.99	77	249	0|100	14
100	100	0.99	76	216	0|100	13
100	100	0.99	66	213	0|100	12
100	100	0.99	63	206	0|100	11
100	100	0.99	56	185	0|100	10
100	100	0.99	52	162	0|100	9
100	100	0.99	48	160	0|100	8
100	100	0.99	33	140	0|100	7
100	100	0.99	35	118	0|100	6
100	100	0.99	34	103	0|100	5
100	100	0.99	30	83	0|100	4
100	100	0.99	23	68	0|100	3
100	100	0.99	15	39	0|100	2
100	100	0.99	5	23	0|100	1
