numberOfGraphs	graphSize	edgeProbability	VCDBS-Time (in ms)	VCDBS2-Time (in ms)	VCDBSwithBounding-Time (in ms)	How many VCs?	Parameter k
1	130	0.05	0	0	0	1|0	130
1	130	0.05	1	0	8	1|0	129
1	130	0.05	3	3	2	1|0	128
1	130	0.05	1	2	1	1|0	127
1	130	0.05	2	2	1	1|0	126
1	130	0.05	3	1	1	1|0	125
1	130	0.05	2	3	1	1|0	124
1	130	0.05	1	2	0	1|0	123
1	130	0.05	2	2	1	1|0	122
1	130	0.05	1	1	1	1|0	121
1	130	0.05	2	2	1	1|0	120
1	130	0.05	2	3	0	1|0	119
1	130	0.05	2	2	1	1|0	118
1	130	0.05	1	1	1	1|0	117
1	130	0.05	2	1	0	1|0	116
1	130	0.05	2	1	1	1|0	115
1	130	0.05	1	1	1	1|0	114
1	130	0.05	1	2	0	1|0	113
1	130	0.05	2	1	1	1|0	112
1	130	0.05	1	1	1	1|0	111
1	130	0.05	1	2	0	1|0	110
1	130	0.05	1	3	1	1|0	109
1	130	0.05	3	1	0	1|0	108
1	130	0.05	2	1	4	1|0	107
1	130	0.05	1	2	5	1|0	106
1	130	0.05	2	2	8	1|0	105
1	130	0.05	2	2	6	1|0	104
1	130	0.05	2	1	7	1|0	103
1	130	0.05	2	2	6	1|0	102
1	130	0.05	1	1	14	1|0	101
1	130	0.05	2	3	17	1|0	100
1	130	0.05	2	1	17	1|0	99
1	130	0.05	2	3	23	1|0	98
1	130	0.05	2	1	17	1|0	97
1	130	0.05	3	2	15	1|0	96
1	130	0.05	1	2	19	1|0	95
1	130	0.05	3	2	17	1|0	94
1	130	0.05	1	2	15	1|0	93
1	130	0.05	3	2	23	1|0	92
1	130	0.05	2	3	21	1|0	91
1	130	0.05	1	2	15	1|0	90
1	130	0.05	3	2	19	1|0	89
1	130	0.05	2	1	21	1|0	88
1	130	0.05	2	3	20	1|0	87
1	130	0.05	32	7	25	1|0	86
1	130	0.05	23	1	18	1|0	85
1	130	0.05	148	2	23	1|0	84
1	130	0.05	11423	2	15	1|0	83
1	130	0.05	35261	2	10	1|0	82
1	130	0.05	65423	4	14	1|0	81
1	130	0.05	81550	77699	117938	0|1	80
