numberOfGraphs	graphSize	edgeProbability	VCDBS-Time (in ms)	VCDBSwithBounding-Time (in ms)	How many VCs?	Parameter k
1	120	0.05	0	0	1|0	120
1	120	0.05	1	7	1|0	119
1	120	0.05	1	3	1|0	118
1	120	0.05	2	2	1|0	117
1	120	0.05	2	3	1|0	116
1	120	0.05	1	1	1|0	115
1	120	0.05	1	1	1|0	114
1	120	0.05	1	1	1|0	113
1	120	0.05	2	1	1|0	112
1	120	0.05	1	1	1|0	111
1	120	0.05	1	1	1|0	110
1	120	0.05	1	1	1|0	109
1	120	0.05	1	1	1|0	108
1	120	0.05	1	1	1|0	107
1	120	0.05	1	0	1|0	106
1	120	0.05	1	0	1|0	105
1	120	0.05	1	1	1|0	104
1	120	0.05	1	0	1|0	103
1	120	0.05	1	1	1|0	102
1	120	0.05	1	1	1|0	101
1	120	0.05	1	1	1|0	100
1	120	0.05	2	0	1|0	99
1	120	0.05	2	0	1|0	98
1	120	0.05	3	0	1|0	97
1	120	0.05	7	0	1|0	96
1	120	0.05	2	1	1|0	95
1	120	0.05	1	1	1|0	94
1	120	0.05	1	4	1|0	93
1	120	0.05	1	8	1|0	92
1	120	0.05	1	9	1|0	91
1	120	0.05	1	10	1|0	90
1	120	0.05	2	10	1|0	89
1	120	0.05	1	10	1|0	88
1	120	0.05	1	9	1|0	87
1	120	0.05	1	13	1|0	86
1	120	0.05	1	12	1|0	85
1	120	0.05	0	12	1|0	84
1	120	0.05	1	11	1|0	83
1	120	0.05	1	13	1|0	82
1	120	0.05	1	15	1|0	81
1	120	0.05	2	13	1|0	80
1	120	0.05	1	10	1|0	79
1	120	0.05	0	12	1|0	78
1	120	0.05	1	14	1|0	77
1	120	0.05	1	16	1|0	76
1	120	0.05	1	11	1|0	75
1	120	0.05	1	13	1|0	74
1	120	0.05	564	9	1|0	73
1	120	0.05	1610	11	1|0	72
1	120	0.05	2572	6	1|0	71
1	120	0.05	7321	9964	0|1	70
